name,type,lower_bound,upper_bound
L_1_x,I,1.0,131072.0
y_1_x,C,7.62939453125e-06,1.0
L_1_y,I,1.0,8192.0
y_1_y,C,0.0001220703125,1.0
L_1_z,I,1.0,5120.0
y_1_z,C,0.0001953125,1.0
L_2_x,I,1.0,131072.0
y_2_x,C,7.62939453125e-06,1.0
L_2_y,I,1.0,8192.0
y_2_y,C,0.0001220703125,1.0
L_2_z,I,1.0,5120.0
y_2_z,C,0.0001953125,1.0
L_3_x,I,1.0,131072.0
y_3_x,C,7.62939453125e-06,1.0
L_3_y,I,1.0,8192.0
y_3_y,C,0.0001220703125,1.0
L_3_z,I,1.0,5120.0
y_3_z,C,0.0001953125,1.0
k_0_x,I,1.0,131072.0
k_0_y,I,1.0,8192.0
k_0_z,I,1.0,5120.0
k_1_x,I,1.0,131072.0
k_1_y,I,1.0,8192.0
k_1_z,I,1.0,5120.0
k_2_x,I,1.0,131072.0
k_2_y,I,1.0,8192.0
k_2_z,I,1.0,5120.0
k_3_x,I,1.0,131072.0
k_3_y,I,1.0,8192.0
k_3_z,I,1.0,5120.0
B1_x,B,0.0,1.0
B1_y,B,0.0,1.0
B1_z,B,0.0,1.0
B3_x,B,0.0,1.0
B3_y,B,0.0,1.0
B3_z,B,0.0,1.0
a01_x,B,0.0,1.0
a01_y,B,0.0,1.0
a01_z,B,0.0,1.0
a12_x,B,0.0,1.0
a12_y,B,0.0,1.0
a12_z,B,0.0,1.0
inv_k2_x,C,7.62939453125e-06,1.0
product_L3k1_x,I,1.0,131072.0
product_L3k1k0_x,I,1.0,131072.0
inv_L3k1_x,C,7.62939453125e-06,1.0
inv_L3k1k0_x,C,7.62939453125e-06,1.0
inv_k2_y,C,0.0001220703125,1.0
product_L3k1_y,I,1.0,8192.0
product_L3k1k0_y,I,1.0,8192.0
inv_L3k1_y,C,0.0001220703125,1.0
inv_L3k1k0_y,C,0.0001220703125,1.0
inv_k2_z,C,0.0001953125,1.0
product_L3k1_z,I,1.0,5120.0
product_L3k1k0_z,I,1.0,5120.0
inv_L3k1_z,C,0.0001953125,1.0
inv_L3k1k0_z,C,0.0001953125,1.0
unit_k0_x,B,0.0,1.0
unit_k0_y,B,0.0,1.0
unit_k0_z,B,0.0,1.0
unit_k1_x,B,0.0,1.0
unit_k1_y,B,0.0,1.0
unit_k1_z,B,0.0,1.0
all_unit_01,B,0.0,1.0
all_unit_12,B,0.0,1.0
chi3_x,B,0.0,1.0
chi3_y,B,0.0,1.0
chi3_z,B,0.0,1.0
selected_length_1_x,C,0.0,8192.0
occupied_scaled_1_x,C,0.0,6144.0
selected_length_1_y,C,0.0,131072.0
occupied_scaled_1_y,C,0.0,6144.0
selected_length_1_z,C,0.0,131072.0
occupied_scaled_1_z,C,0.0,6144.0
selected_length_3_x,C,0.0,8192.0
occupied_scaled_3_x,C,0.0,11.31370849898476
selected_length_3_y,C,0.0,131072.0
occupied_scaled_3_y,C,0.0,11.31370849898476
selected_length_3_z,C,0.0,131072.0
occupied_scaled_3_z,C,0.0,11.31370849898476
product_k2_xy,I,1.0,65536.0
src1_resident_alpha_x,B,0.0,1.0
src1_resident_background_x,B,0.0,1.0
src1_background_count_x,C,0.0,1.0
Nnorm_receiver_src1_x,C,0.0,1.0
src1_resident_alpha_y,B,0.0,1.0
src1_resident_background_y,B,0.0,1.0
src1_background_count_y,C,0.0,1.0
Nnorm_receiver_src1_y,C,0.0,1.0
src1_resident_alpha_z,B,0.0,1.0
src1_resident_background_z,B,0.0,1.0
src1_background_count_z,C,0.0,1.0
Nnorm_receiver_src1_z,C,0.0,1.0
Nnorm_oldread_src1_z,C,0.0,1.0
a12_without_chi3_x,B,0.0,1.0
src3_case_chi_x,B,0.0,1.0
src3_case_alpha_x,B,0.0,1.0
src3_case_background_x,B,0.0,1.0
src3_receiver_chi_count_x,C,0.0,1.0
src3_receiver_alpha_count_x,C,0.0,1.0
src3_receiver_background_count_x,C,0.0,1.0
Nnorm_receiver_src3_x,C,0.0,1.0
Nnorm_source_src3_x,C,0.0,1.0
Nnorm_source_src3_sram_x,C,0.0,1.0
a12_without_chi3_y,B,0.0,1.0
src3_case_chi_y,B,0.0,1.0
src3_case_alpha_y,B,0.0,1.0
src3_case_background_y,B,0.0,1.0
src3_receiver_chi_count_y,C,0.0,1.0
src3_receiver_alpha_count_y,C,0.0,1.0
src3_receiver_background_count_y,C,0.0,1.0
Nnorm_receiver_src3_y,C,0.0,1.0
Nnorm_source_src3_y,C,0.0,1.0
Nnorm_source_src3_sram_y,C,0.0,1.0
a12_without_chi3_z,B,0.0,1.0
src3_case_chi_z,B,0.0,1.0
src3_case_alpha_z,B,0.0,1.0
src3_case_background_z,B,0.0,1.0
src3_receiver_chi_count_z,C,0.0,1.0
src3_receiver_alpha_count_z,C,0.0,1.0
src3_receiver_background_count_z,C,0.0,1.0
Nnorm_receiver_src3_z,C,0.0,1.0
Nnorm_source_src3_z,C,0.0,1.0
Nnorm_source_src3_sram_z,C,0.0,1.0
B3_times_k2_z,I,-0.0,5120.0
Nnorm_oldread_receiver_src3_z,C,0.0,1.0
Nnorm_oldread_source_src3_z,C,0.0,1.0
Nnorm_oldread_source_src3_sram_z,C,0.0,1.0
src4_select_sram_x,B,0.0,1.0
src4_select_ddr_x,B,0.0,1.0
Nnorm_source_src4_sram_x,C,0.0,1.0
Nnorm_source_src4_ddr_x,C,0.0,1.0
src4_select_sram_y,B,0.0,1.0
src4_select_ddr_y,B,0.0,1.0
Nnorm_source_src4_sram_y,C,0.0,1.0
Nnorm_source_src4_ddr_y,C,0.0,1.0
src4_select_sram_z,B,0.0,1.0
src4_select_ddr_z,B,0.0,1.0
Nnorm_source_src4_sram_z,C,0.0,1.0
Nnorm_source_src4_ddr_z,C,0.0,1.0
