case,n,optimal_status_count,max_gap_percent_log,nodes_total,nodes_max,stage3_seconds_logs
a100_like__Llama_3.3-70B_128k,8,8,0.0,109335,27408,4.682768
a100_like__Llama_3.3-70B_2k,8,8,0.0,92330,24669,4.986549
a100_like__Llama_3.3-70B_32k,8,8,0.0,65283,12263,5.190067
a100_like__Qwen3-32B_128k,8,8,0.0,98347,36032,5.828843
a100_like__Qwen3-32B_2k,8,8,0.0,67657,21233,3.704538
a100_like__Qwen3-32B_32k,8,8,0.0,89817,18414,5.574071
eyeriss_like__Llama_3.2-1B_1k,8,8,0.0,64109,16622,3.161659
eyeriss_like__Llama_3.2-1B_32k,8,8,0.0,41624,11083,2.999302
eyeriss_like__Llama_3.2-1B_8k,8,8,0.0,51226,19507,3.225313
eyeriss_like__Qwen3-0.6B_1k,8,8,0.0,53536,15372,3.190175
eyeriss_like__Qwen3-0.6B_32k,8,8,0.0,41753,17827,3.188028
eyeriss_like__Qwen3-0.6B_8k,8,8,0.0,48572,12050,2.980236
gemmini_like__Llama_3.2-1B_1k,8,8,0.0,11195,3069,2.048355
gemmini_like__Llama_3.2-1B_32k,8,8,0.0,19205,6652,2.245505
gemmini_like__Llama_3.2-1B_8k,8,8,0.0,23319,13103,2.188336
gemmini_like__Qwen3-0.6B_1k,8,8,0.0,13269,5808,2.000902
gemmini_like__Qwen3-0.6B_32k,8,8,0.0,16367,3572,2.1345
gemmini_like__Qwen3-0.6B_8k,8,8,0.0,9877,3287,1.744732
tpu_v1_like__Llama_3.3-70B_128k,8,8,0.0,87056,18741,5.4139
tpu_v1_like__Llama_3.3-70B_2k,8,8,0.0,58030,19788,3.7199169999999997
tpu_v1_like__Llama_3.3-70B_32k,8,8,0.0,89547,24735,5.408407
tpu_v1_like__Qwen3-32B_128k,8,8,0.0,90625,21739,5.245334
tpu_v1_like__Qwen3-32B_2k,8,8,0.0,45542,13808,3.162957
tpu_v1_like__Qwen3-32B_32k,8,8,0.0,98253,24735,5.924292
