case,arch,section,layer,x,y,z,C1,C3,N_PE,status,UB_log,LB_log,gap_percent_log,linear_rows,variables,nonzeros,continuous,integers_including_binary,binary,nonbinary_integer,quadratic_constraints,general_constraints,presolved_continuous,presolved_integer,presolved_binary,nodes,simplex_iterations,solver_seconds_log,stage3_seconds_log,gurobi_version,threads,MIPGap_param,NumericFocus_param,DualReductions_param,IntFeasTol_param,FeasibilityTol_param
a100_like__Llama_3.3-70B_128k,a100_like,lm_head,lm_head,1,128256,8192,37748736,128,65536,2,3.137688592172e+01,3.137688592172e+01,0.0000,193,143,485,67,76,47,29,44,26,43,60,38,1,312,0.05,0.075611,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_128k,a100_like,transformer_block,01_attn_q_proj,131072,8192,8192,37748736,128,65536,2,2.611127244072e-01,2.611127244072e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,27408,105734,0.89,0.951329,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_128k,a100_like,transformer_block,02_attn_kv_proj,131072,1024,8192,37748736,128,65536,2,2.773296240845e-01,2.773296240845e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,10263,30966,0.5,0.554154,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_128k,a100_like,transformer_block,03_attn_score,1048576,131072,128,37748736,128,65536,2,4.314206599936e-01,4.314206599936e-01,0.0000,193,143,485,67,76,47,29,44,26,66,75,46,490,4181,0.2,0.232693,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_128k,a100_like,transformer_block,04_attn_context,1048576,128,131072,37748736,128,65536,2,4.452379207358e-01,4.452379207358e-01,0.0000,193,143,485,67,76,47,29,44,26,66,75,46,9427,37514,0.53,0.584714,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_128k,a100_like,transformer_block,05_attn_output,131072,8192,8192,37748736,128,65536,2,2.611127244072e-01,2.611127244072e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,27408,105734,0.87,0.902608,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_128k,a100_like,transformer_block,06_mlp_gate_up,131072,28672,8192,37748736,128,65536,2,2.598159709995e-01,2.598159709995e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,7982,46773,0.53,0.585734,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_128k,a100_like,transformer_block,07_mlp_down,131072,8192,28672,37748736,128,65536,2,2.645267546561e-01,2.645267546561e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,26356,144016,0.77,0.795925,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_2k,a100_like,lm_head,lm_head,1,128256,8192,37748736,128,65536,2,3.137688592172e+01,3.137688592172e+01,0.0000,193,143,485,67,76,47,29,44,26,43,60,38,1,312,0.05,0.106054,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_2k,a100_like,transformer_block,01_attn_q_proj,2048,8192,8192,37748736,128,65536,2,2.685047320557e-01,2.685047320557e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,24669,87090,1.02,1.068326,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_2k,a100_like,transformer_block,02_attn_kv_proj,2048,1024,8192,37748736,128,65536,2,2.916380100099e-01,2.916380100099e-01,0.0000,193,143,485,67,76,47,29,44,26,63,72,45,2810,17921,0.24,0.297072,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_2k,a100_like,transformer_block,03_attn_score,16384,2048,128,37748736,128,65536,2,4.487440501403e-01,4.487440501403e-01,0.0000,193,143,485,67,76,47,29,44,26,63,72,45,138,1257,0.11,0.1537,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_2k,a100_like,transformer_block,04_attn_context,16384,128,2048,37748736,128,65536,2,4.584638096923e-01,4.584638096923e-01,0.0000,193,143,485,67,76,47,29,44,26,63,72,45,18564,62317,0.55,0.628669,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_2k,a100_like,transformer_block,05_attn_output,2048,8192,8192,37748736,128,65536,2,2.685047320557e-01,2.685047320557e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,24669,87090,1.03,1.102637,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_2k,a100_like,transformer_block,06_mlp_gate_up,2048,28672,8192,37748736,128,65536,2,2.662829739293e-01,2.662829739293e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,12988,64458,0.9,0.955217,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_2k,a100_like,transformer_block,07_mlp_down,2048,8192,28672,37748736,128,65536,2,2.664345394463e-01,2.664345394463e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,8491,43666,0.62,0.674874,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_32k,a100_like,lm_head,lm_head,1,128256,8192,37748736,128,65536,2,3.137688592172e+01,3.137688592172e+01,0.0000,193,143,485,67,76,47,29,44,26,43,60,38,1,312,0.05,0.101329,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_32k,a100_like,transformer_block,01_attn_q_proj,32768,8192,8192,37748736,128,65536,2,2.619887567596e-01,2.619887567596e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,11084,52865,0.85,0.900699,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_32k,a100_like,transformer_block,02_attn_kv_proj,32768,1024,8192,37748736,128,65536,2,2.773296240845e-01,2.773296240845e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,9210,31623,0.38,0.438151,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_32k,a100_like,transformer_block,03_attn_score,262144,32768,128,37748736,128,65536,2,4.322455833340e-01,4.322455833340e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,441,2406,0.13,0.159617,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_32k,a100_like,transformer_block,04_attn_context,262144,128,32768,37748736,128,65536,2,4.521673249739e-01,4.521673249739e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,12263,50185,1.04,1.118607,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_32k,a100_like,transformer_block,05_attn_output,32768,8192,8192,37748736,128,65536,2,2.619887567596e-01,2.619887567596e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,11084,52865,0.85,0.880961,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_32k,a100_like,transformer_block,06_mlp_gate_up,32768,28672,8192,37748736,128,65536,2,2.598159709995e-01,2.598159709995e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,9460,60656,0.66,0.713412,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Llama_3.3-70B_32k,a100_like,transformer_block,07_mlp_down,32768,8192,28672,37748736,128,65536,2,2.645267546561e-01,2.645267546561e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,11740,71799,0.84,0.877291,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_128k,a100_like,lm_head,lm_head,1,152064,5120,37748736,128,65536,2,3.139188818270e+01,3.139188818270e+01,0.0000,193,143,485,67,76,47,29,44,26,43,57,37,2868,7988,0.15,0.204151,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_128k,a100_like,transformer_block,01_attn_q_proj,131072,8192,5120,37748736,128,65536,2,2.680331589775e-01,2.680331589775e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,10055,56382,0.41,0.489294,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_128k,a100_like,transformer_block,02_attn_kv_proj,131072,1024,5120,37748736,128,65536,2,2.895192353325e-01,2.895192353325e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,13710,36996,0.75,0.81189,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_128k,a100_like,transformer_block,03_attn_score,1048576,131072,128,37748736,128,65536,2,4.314206599936e-01,4.314206599936e-01,0.0000,193,143,485,67,76,47,29,44,26,66,75,46,490,4181,0.22,0.279827,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_128k,a100_like,transformer_block,04_attn_context,1048576,128,131072,37748736,128,65536,2,4.452379207358e-01,4.452379207358e-01,0.0000,193,143,485,67,76,47,29,44,26,66,75,46,9427,37514,0.55,0.604627,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_128k,a100_like,transformer_block,05_attn_output,131072,5120,8192,37748736,128,65536,2,2.635903168633e-01,2.635903168633e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,7153,46722,0.32,0.372529,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_128k,a100_like,transformer_block,06_mlp_gate_up,131072,25600,5120,37748736,128,65536,2,2.681657400810e-01,2.681657400810e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,36032,200163,1.86,1.939732,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_128k,a100_like,transformer_block,07_mlp_down,131072,5120,25600,37748736,128,65536,2,2.681258835938e-01,2.681258835938e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,18612,110275,1.07,1.126793,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_2k,a100_like,lm_head,lm_head,1,152064,5120,37748736,128,65536,2,3.139188818270e+01,3.139188818270e+01,0.0000,193,143,485,67,76,47,29,44,26,43,57,37,2868,7988,0.15,0.199753,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_2k,a100_like,transformer_block,01_attn_q_proj,2048,8192,5120,37748736,128,65536,2,2.773462812500e-01,2.773462812501e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,21233,124450,1.12,1.173448,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_2k,a100_like,transformer_block,02_attn_kv_proj,2048,1024,5120,37748736,128,65536,2,3.041040991211e-01,3.041040991211e-01,0.0000,193,143,485,67,76,47,29,44,26,63,72,45,5317,16256,0.3,0.353933,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_2k,a100_like,transformer_block,03_attn_score,16384,2048,128,37748736,128,65536,2,4.487440501403e-01,4.487440501403e-01,0.0000,193,143,485,67,76,47,29,44,26,63,72,45,138,1257,0.1,0.157449,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_2k,a100_like,transformer_block,04_attn_context,16384,128,2048,37748736,128,65536,2,4.584638096923e-01,4.584638096923e-01,0.0000,193,143,485,67,76,47,29,44,26,63,72,45,18564,62317,0.54,0.60911,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_2k,a100_like,transformer_block,05_attn_output,2048,5120,8192,37748736,128,65536,2,2.707940738036e-01,2.707940738036e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,3640,17311,0.27,0.321735,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_2k,a100_like,transformer_block,06_mlp_gate_up,2048,25600,5120,37748736,128,65536,2,2.756103675391e-01,2.756103675391e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,14615,60508,0.54,0.592654,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_2k,a100_like,transformer_block,07_mlp_down,2048,5120,25600,37748736,128,65536,2,2.757570227539e-01,2.757570227539e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,1282,10020,0.24,0.296456,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_32k,a100_like,lm_head,lm_head,1,152064,5120,37748736,128,65536,2,3.139188818270e+01,3.139188818270e+01,0.0000,193,143,485,67,76,47,29,44,26,43,57,37,2868,7988,0.15,0.205628,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_32k,a100_like,transformer_block,01_attn_q_proj,32768,8192,5120,37748736,128,65536,2,2.689091913299e-01,2.689091913299e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,13698,101399,0.78,0.854837,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_32k,a100_like,transformer_block,02_attn_kv_proj,32768,1024,5120,37748736,128,65536,2,2.897172351074e-01,2.897172351075e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,18414,68091,0.68,0.730294,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_32k,a100_like,transformer_block,03_attn_score,262144,32768,128,37748736,128,65536,2,4.322455833340e-01,4.322455833340e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,441,2406,0.14,0.193563,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_32k,a100_like,transformer_block,04_attn_context,262144,128,32768,37748736,128,65536,2,4.521673249739e-01,4.521673249739e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,12263,50185,1.1,1.148532,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_32k,a100_like,transformer_block,05_attn_output,32768,5120,8192,37748736,128,65536,2,2.644663492157e-01,2.644663492157e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,9873,65147,0.86,0.908706,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_32k,a100_like,transformer_block,06_mlp_gate_up,32768,25600,5120,37748736,128,65536,2,2.690417724335e-01,2.690417724335e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,17167,103987,0.87,0.929458,13.0.0,32,0,0,1,1e-09,1e-09
a100_like__Qwen3-32B_32k,a100_like,transformer_block,07_mlp_down,32768,5120,25600,37748736,128,65536,2,2.681258835938e-01,2.681258835938e-01,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,15093,64544,0.55,0.603053,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_1k,eyeriss_like,lm_head,lm_head,1,128256,2048,165888,424,256,2,6.693177484285e+01,6.693177484285e+01,0.0000,193,143,485,67,76,47,29,44,26,43,60,38,1,475,0.06,0.117316,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_1k,eyeriss_like,transformer_block,01_attn_q_proj,1024,2048,2048,165888,424,256,2,5.928654478760e+00,5.928654478760e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,16622,68161,0.51,0.534328,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_1k,eyeriss_like,transformer_block,02_attn_kv_proj,1024,512,2048,165888,424,256,2,5.928654478760e+00,5.928654478760e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,1062,12864,0.2,0.251926,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_1k,eyeriss_like,transformer_block,03_attn_score,4096,1024,64,165888,424,256,2,6.452951040649e+00,6.452951040649e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,1552,12286,0.2,0.246074,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_1k,eyeriss_like,transformer_block,04_attn_context,4096,64,1024,165888,424,256,2,6.613628982544e+00,6.613628982544e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,10571,37453,0.46,0.506752,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_1k,eyeriss_like,transformer_block,05_attn_output,1024,2048,2048,165888,424,256,2,5.928654478760e+00,5.928654478760e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,16622,68161,0.51,0.563389,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_1k,eyeriss_like,transformer_block,06_mlp_gate_up,1024,8192,2048,165888,424,256,2,5.928654478760e+00,5.928654478760e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,9898,74661,0.49,0.54771,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_1k,eyeriss_like,transformer_block,07_mlp_down,1024,2048,8192,165888,424,256,2,5.908323486633e+00,5.908323486633e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,7781,37736,0.36,0.394164,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_32k,eyeriss_like,lm_head,lm_head,1,128256,2048,165888,424,256,2,6.693177484285e+01,6.693177484285e+01,0.0000,193,143,485,67,76,47,29,44,26,43,60,38,1,475,0.07,0.144734,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_32k,eyeriss_like,transformer_block,01_attn_q_proj,32768,2048,2048,165888,424,256,2,5.928654478760e+00,5.928654478760e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,4064,24552,0.29,0.366785,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_32k,eyeriss_like,transformer_block,02_attn_kv_proj,32768,512,2048,165888,424,256,2,5.928654478760e+00,5.928654478760e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,5012,37277,0.32,0.371842,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_32k,eyeriss_like,transformer_block,03_attn_score,131072,32768,64,165888,424,256,2,6.403704551868e+00,6.403704551868e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,3582,23700,0.28,0.338938,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_32k,eyeriss_like,transformer_block,04_attn_context,131072,64,32768,165888,424,256,2,6.578431193924e+00,6.578431193924e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,5984,21551,0.3,0.356152,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_32k,eyeriss_like,transformer_block,05_attn_output,32768,2048,2048,165888,424,256,2,5.928654478760e+00,5.928654478760e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,4064,24552,0.29,0.337787,13.0.0,32,0,0,1,1e-09,1e-09
eyeriss_like__Llama_3.2-1B_32k,eyeriss_like,transformer_block,06_mlp_gate_up,32768,8192,2048,165888,424,256,2,5.928654478760e+00,5.928654478760e+00,0.0000,193,143,485,67,76,47,29,44,26,66,72,45,11083,76987,0.61,0.661376,13.0.0,32,0,0,1,1e-09,1e-09
